,X,Y,IMAGE_Path,Cell,TimePoint
Cell1_0.0,80,57,gigafile-0316-cada71d64790dc3a8d10c5311a869123/N,Cell1,0.0
Cell1_2.5,88,51,gigafile-0316-cada71d64790dc3a8d10c5311a869123/N,Cell1,2.5
Cell1_5.0,88,55,gigafile-0316-cada71d64790dc3a8d10c5311a869123/N,Cell1,5.0
Cell1_7.5,88,59,gigafile-0316-cada71d64790dc3a8d10c5311a869123/N,Cell1,7.5
Cell2_0.0,28,261,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell2,0.0
Cell2_2.5,39,255,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell2,2.5
Cell2_5.0,45,259,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell2,5.0
Cell2_7.5,50,261,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell2,7.5
Cell3_0.0,255,203,gigafile-0316-cada71d64790dc3a8d10c5311a869123/N,Cell3,0.0
Cell3_2.5,264,199,gigafile-0316-cada71d64790dc3a8d10c5311a869123/N,Cell3,2.5
Cell3_5.0,287,197,gigafile-0316-cada71d64790dc3a8d10c5311a869123/N,Cell3,5.0
Cell3_7.5,285,202,gigafile-0316-cada71d64790dc3a8d10c5311a869123/N,Cell3,7.5
Cell4_0.0,333,42,gigafile-0210-2b2394e5d9e09f82d5d6f8fa8fc4d808/16r,Cell4,0.0
Cell4_2.5,340,46,gigafile-0210-2b2394e5d9e09f82d5d6f8fa8fc4d808/16r,Cell4,2.5
Cell4_5.0,330,50,gigafile-0210-2b2394e5d9e09f82d5d6f8fa8fc4d808/16r,Cell4,5.0
Cell4_7.5,339,49,gigafile-0210-2b2394e5d9e09f82d5d6f8fa8fc4d808/16r,Cell4,7.5
Cell5_0.0,50,211,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell5,0.0
Cell5_2.5,53,205,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell5,2.5
Cell5_5.0,61,206,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell5,5.0
Cell5_7.5,56,210,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell5,7.5
Cell6_0.0,199,323,gigafile-0210-2b2394e5d9e09f82d5d6f8fa8fc4d808/16,Cell6,0.0
Cell6_2.5,201,316,gigafile-0210-2b2394e5d9e09f82d5d6f8fa8fc4d808/16,Cell6,2.5
Cell6_5.0,216,309,gigafile-0210-2b2394e5d9e09f82d5d6f8fa8fc4d808/16,Cell6,5.0
Cell6_7.5,176,295,gigafile-0210-2b2394e5d9e09f82d5d6f8fa8fc4d808/16,Cell6,7.5
Cell7_0.0,217,305,gigafile-0316-cada71d64790dc3a8d10c5311a869123/P,Cell7,0.0
Cell7_2.5,216,300,gigafile-0316-cada71d64790dc3a8d10c5311a869123/P,Cell7,2.5
Cell7_5.0,218,305,gigafile-0316-cada71d64790dc3a8d10c5311a869123/P,Cell7,5.0
Cell7_7.5,219,304,gigafile-0316-cada71d64790dc3a8d10c5311a869123/P,Cell7,7.5
Cell8_0.0,148,265,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell8,0.0
Cell8_2.5,143,255,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell8,2.5
Cell8_5.0,152,255,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell8,5.0
Cell8_7.5,155,256,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell8,7.5
Cell9_0.0,24,36,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/N,Cell9,0.0
Cell9_2.5,18,42,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/N,Cell9,2.5
Cell9_5.0,23,40,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/N,Cell9,5.0
Cell9_7.5,19,38,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/N,Cell9,7.5
Cell10_0.0,327,464,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell10,0.0
Cell10_2.5,333,462,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell10,2.5
Cell10_5.0,336,456,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell10,5.0
Cell10_7.5,331,465,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/R,Cell10,7.5
Cell11_0.0,347,131,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/S,Cell11,0.0
Cell11_2.5,350,134,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/S,Cell11,2.5
Cell11_5.0,358,134,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/S,Cell11,5.0
Cell11_7.5,357,136,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/S,Cell11,7.5
Cell12_0.0,320,213,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/O,Cell12,0.0
Cell12_2.5,329,214,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/O,Cell12,2.5
Cell12_5.0,324,216,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/O,Cell12,5.0
Cell12_7.5,317,215,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/O,Cell12,7.5
Cell13_0.0,452,21,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/Cent,Cell13,0.0
Cell13_2.5,450,22,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/Cent,Cell13,2.5
Cell13_5.0,451,16,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/Cent,Cell13,5.0
Cell13_7.5,442,10,gigafile-0316-f5d2ababcbb5ba11515e5f5c0d0c1ff8/Cent,Cell13,7.5
Cell14_0.0,114,251,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell14,0.0
Cell14_2.5,111,247,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell14,2.5
Cell14_5.0,109,242,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell14,5.0
Cell14_7.5,113,242,gigafile-0316-cada71d64790dc3a8d10c5311a869123/R,Cell14,7.5
Cell15_0.0,23,168,gigafile-0219-9682108051789398a3c167c48192970c/9rr,Cell15,0.0
Cell15_2.5,42,149,gigafile-0219-9682108051789398a3c167c48192970c/9rr,Cell15,2.5
Cell15_5.0,39,157,gigafile-0219-9682108051789398a3c167c48192970c/9rr,Cell15,5.0
Cell15_7.5,37,148,gigafile-0219-9682108051789398a3c167c48192970c/9rr,Cell15,7.5
