,CDK1,MYC,SMC1A,CDK7,BUB3,SMC3,HDAC2,CCNA2,CUL1,MDM2,ANAPC11,YWHAE,CCNB2,MCM3,CDKN2A,MAD2L1,CDC25B,YWHAH,MCM4,RBX1,TFDP1,CCNH,HDAC1,MCM6,PTTG1,CDC20,YWHAZ,RAD21,SKP2,CDC23,GADD45A,SKP1,YWHAB,PRKDC,CDKN1A,MCM7,CCND3,MAD2L2,TFDP2,SMAD2,BUB1,ANAPC5,ORC2,YWHAQ,CCNB1,CDK2,PCNA,EP300
MYC,0.0416494845360824,0.0,0.0788331631903629,0.0381231671554252,0.0985918821593473,0.0381231671554252,0.089848424707739,0.0763629168414152,0.0785619767183758,0.1018756775580346,0.0711458507558615,0.0763905306103754,0.0417333322921725,0.049451102249551,0.0710756530711055,0.0684855728074393,0.0498477929984778,0.065692334159483,0.0567350584183316,0.0787914174201547,0.0971501950475624,0.037021455616323,0.0975749909814849,0.0656410747901081,0.0558540964183636,0.0885713185729444,0.0877263552388186,0.1005497864831135,0.0498477929984779,0.0785256709548396,0.0498477929984778,0.0293956894662768,0.05252017002636,0.0833276356292501,0.0903039898686205,0.0844333767465672,0.0434451219512194,0.0914284468081428,0.090147566418834,0.0572109654350416,0.0805642929806417,0.0695284878752239,0.0434451219512194,0.0650932627549236,0.0535200293010926,0.0527086383601756,0.0382642900039915,0.0649378826392774
SMAD2,0.0775257731958763,0.0178455077443664,0.0142974738079514,0.0890762463343108,0.0135602857751684,0.0890762463343108,0.0103873863025674,0.0438890927565504,0.0146311021100664,0.0229757574485393,0.0242359690371307,0.0197328875268062,0.064914121373108,0.0547108512429479,0.0199581621903351,0.0180694879607251,0.0684931506849315,0.0330970503288648,0.0596499145002938,0.0184532907771095,0.0182394059225228,0.0803533866217921,0.0292370397615696,0.022973009033077,0.0738098466115716,0.0184075499960978,0.0202681302912661,0.0312444158708796,0.0684931506849315,0.0256168183637409,0.0684931506849315,0.0882305715013726,0.1002748852628645,0.0282759020105955,0.02348219489818,0.018638600315525,0.0990853658536584,0.0213230896772073,0.0214639908183049,0.0,0.0346168891380353,0.0289706237199892,0.0990853658536584,0.0630667940386019,0.0895245903281563,0.078696925329429,0.0839021634561939,0.0698648520793544
TFDP1,0.0536082474226803,0.088543266085054,0.0881870458595132,0.0417888563049853,0.0757849300759622,0.0417888563049853,0.0969392432263406,0.06392059692156,0.0881047368728076,0.057869996759964,0.0837186132373586,0.0771547024459491,0.0565835818798339,0.028229831468014,0.0887139756622789,0.0850230829453855,0.0426179604261795,0.0807149300906001,0.0464284612187936,0.0934705695328259,0.0,0.047538914598233,0.0863289687638637,0.1010762115449269,0.0468506656661017,0.0776841427059997,0.0752663701459184,0.0714694388396952,0.0426179604261796,0.0829720283390044,0.0426179604261795,0.0594055563679526,0.0432645896395888,0.0839975287023833,0.0858321155163064,0.0875830845040111,0.0377286585365853,0.0917834166561963,0.0778248283558371,0.048073102900278,0.068998716951673,0.0954298074148567,0.0377286585365853,0.0436140700037626,0.0396652458323393,0.0442898975109809,0.0556080613645395,0.0563262979985126
TFDP2,0.0461855670103092,0.0702954630439454,0.0741820376355386,0.0483870967741935,0.0909115882079072,0.0483870967741935,0.0808145293846183,0.0989323490060555,0.0740618118931873,0.1185599437024453,0.0689878970103728,0.0780579514640494,0.0421067200830836,0.0629628270786156,0.0697244573369889,0.0658781952370052,0.035007610350076,0.0662112960064418,0.0439302516652717,0.0744422190122891,0.1084632809157546,0.0323937736642826,0.0977054588692229,0.0440775039526373,0.0403170915035038,0.0823240144915268,0.101349514489521,0.0969665681676592,0.0350076103500761,0.0720799815121399,0.035007610350076,0.0268651701405915,0.0497562445684072,0.0951990004063687,0.0799274261736822,0.0970520441265399,0.0407774390243902,0.1046611943285597,0.0,0.0655542312276519,0.0769124135073945,0.0835696641961397,0.0407774390243902,0.0718003785907334,0.0501414142531633,0.0603953147877013,0.0318205340753107,0.0790473152800105
EP300,0.0820618556701031,0.1176066883676079,0.0476947081247781,0.0813782991202345,0.0342653811191346,0.0813782991202346,0.051590697357688,0.0823132620596119,0.0478546584411878,0.080967170783278,0.0522615163894052,0.0417149333703891,0.0793351758024285,0.0762498270794069,0.0542061469060887,0.0549100061929682,0.0829528158295281,0.0472882208419383,0.0799548538214413,0.059193932474254,0.0533965816353645,0.0862431636516617,0.0471398881669468,0.0318246250604884,0.090687226370367,0.0868854612182951,0.0653238436811912,0.0718462608002317,0.0829528158295281,0.0827609958863576,0.0829528158295281,0.1111831851340243,0.0971782499702342,0.039821683553725,0.0798471263438006,0.0464615540051237,0.0926067073170731,0.0476504785944865,0.0563039887870833,0.088994835121176,0.0480397363832481,0.0331619267657012,0.0926067073170731,0.0905712454270865,0.0878933655611648,0.08199121522694,0.1047774989053414,0.0
CCNA2,0.0292783505154639,0.1141343474721105,0.0235893372965899,0.0293255131964809,0.0169307022258976,0.0293255131964809,0.0457902708521926,0.0,0.0232999143855044,0.110958439746325,0.0220647251897179,0.0384180788458093,0.022906960075515,0.0285686944749178,0.026578817438135,0.0289436202824833,0.0121765601217655,0.0180558940933031,0.0265685081732257,0.0318913914800156,0.0506176508832807,0.0201935212452671,0.0304770218270206,0.0246929213770734,0.0126382325151418,0.0709111146002464,0.090696810022901,0.0183589674740012,0.0121765601217656,0.0735953647646653,0.0121765601217655,0.0264201967585003,0.0218264004446039,0.0207740988657385,0.0783886969729091,0.037303279487675,0.0247713414634146,0.0378112175158515,0.0413012643035103,0.0365514501390544,0.0205022351499209,0.0281352504851683,0.0247713414634146,0.0450294540160615,0.0207842011993076,0.0336749633967788,0.0401107697995549,0.0558517255701561
CCNH,0.100618556701031,0.0151395803110782,0.0266128673854827,0.0821114369501466,0.0283538652118322,0.0821114369501466,0.0189600395223319,0.0379960588804531,0.0271892002562205,0.0186406869821472,0.0413347060452069,0.0172146138680785,0.0849017624868507,0.0581277579620119,0.0361334995018545,0.0165472150389185,0.1000761035007611,0.045669934551431,0.0875800312853654,0.0250782424954387,0.0212932639762367,0.0,0.0343998526171721,0.0323991729269226,0.1070858931265032,0.0338293777488622,0.0234677448561654,0.0437813170841673,0.1000761035007609,0.0449380627389951,0.1000761035007611,0.111157474042067,0.0866763137499535,0.0230329850752535,0.014310860866777,0.0156922272362853,0.0804115853658536,0.0179297154079122,0.0220279798864074,0.077870480731029,0.0373975351741945,0.023805910037109,0.0804115853658536,0.0610397015599562,0.0776370669004866,0.0717423133235724,0.0747456834526172,0.0698259656997494
CDK1,0.0,0.0137305325094775,0.0267029927054485,0.0861436950146627,0.0256313826971364,0.0861436950146627,0.0190021872606978,0.0359254793347526,0.027302086360338,0.0201963677111805,0.0442824500793373,0.0200294670376682,0.0746990529842325,0.0607109281081731,0.0375237806628326,0.0195498568357194,0.0821917808219178,0.0346990301439908,0.0634542236769853,0.019862148045223,0.0229504558977788,0.1039124947412705,0.0371273253244073,0.0242624485841378,0.0913486222301765,0.0305914031350227,0.0156796406943108,0.0322402390574838,0.0821917808219177,0.0326593828849472,0.0821917808219178,0.1043105626558374,0.076249390864852,0.0282955069078104,0.0201801027741536,0.0188213884754987,0.0758384146341463,0.0220832903054352,0.0182780116963187,0.0985299960270163,0.027621392278187,0.0253292422708677,0.0758384146341463,0.0787867241600778,0.067443110244972,0.0907759882869693,0.0715556099340229,0.0767206385360501
HDAC1,0.0944329896907216,0.060964879617474,0.0798139689573374,0.0821114369501466,0.0832851226122022,0.0821114369501466,0.0827595147525508,0.0614425858437808,0.0798245395107125,0.0641775687487837,0.0780786643308741,0.0997223510980665,0.086303411178308,0.09703150506179,0.0768775469247747,0.0884275019586241,0.0806697108066971,0.0733514368486029,0.0818756423087163,0.0871522718830029,0.083750341938943,0.0824568784181741,0.0,0.0947526595818386,0.0874057837268242,0.0588546876223005,0.0771376690322613,0.0571402647789257,0.080669710806697,0.0508132114203212,0.0806697108066971,0.0497181109504893,0.0843292356296323,0.073942968852237,0.0370130920623116,0.0741482065431083,0.0773628048780488,0.0803346107396359,0.0836080516984394,0.0842272546682558,0.0822241714399591,0.0788685269269593,0.0773628048780488,0.0720877851400173,0.076222839476611,0.0775988286969253,0.0749248098041848,0.0783076181793369
HDAC2,0.0354639175257731,0.0611039949445921,0.0880825912777484,0.0549853372434017,0.0919993012486424,0.0549853372434017,0.0,0.0795250623872777,0.087624097633645,0.1046211361502721,0.0768573098789304,0.0654033508447333,0.0388812403673213,0.0836148662532693,0.0762637197062982,0.0709769431384085,0.0441400304414002,0.0738508146885006,0.0493892969106561,0.0736820266872367,0.0762514448700443,0.0542700883466554,0.0761180365196616,0.0450275455811689,0.0490072176026229,0.0823085297737264,0.0718880396734405,0.1008890676543623,0.0441400304414003,0.0783692713110537,0.0441400304414002,0.0452165130478714,0.038342465213706,0.0827726532648098,0.0791937230561829,0.0799118397550519,0.0289634146341463,0.086497034940613,0.0789192316967517,0.0528406833531982,0.0650809295119371,0.0690912491705881,0.0289634146341463,0.0620079559755535,0.0399790304245575,0.0486822840409955,0.0192103424533013,0.0573321798296983
MAD2L2,0.0544329896907216,0.1111399114287264,0.0836967707916138,0.0300586510263929,0.0781989977071771,0.0300586510263929,0.1002248609410642,0.074811586269658,0.0834875382705037,0.0611151737270391,0.0786763064174171,0.0748408278127397,0.0577548467912856,0.0258424921837193,0.0848203253714189,0.0815374727771663,0.0445205479452054,0.0818293130199043,0.0475062755957802,0.0879020153866752,0.0649323849856308,0.0631047538914598,0.0706395546952785,0.0986281648878876,0.0502467454137375,0.074238011098272,0.0429242736079065,0.0638852103732837,0.0445205479452055,0.0908988665519575,0.0445205479452054,0.0720479100574766,0.0445277665530235,0.0731423764643377,0.0814640599607197,0.0697799110525061,0.0365853658536585,0.0,0.0838184902429357,0.0405244338498211,0.0702895631028635,0.0769586430069358,0.0365853658536585,0.0345431268930443,0.0413329883177898,0.0373352855051244,0.052323553064354,0.0405206290370389
MDM2,0.0585567010309277,0.0812254568330275,0.0874278575902591,0.0351906158357771,0.0852624483811369,0.0351906158357771,0.0915405249882754,0.0930465799218683,0.0874695652549861,0.0,0.0853939143002589,0.0881586403669801,0.0560557503889916,0.0519624707433087,0.0857939321272704,0.0825606777546346,0.0384322678843226,0.083222352226173,0.044218886426835,0.0894534394129962,0.0698732107472138,0.0542700883466554,0.0681483656587204,0.0458613769762696,0.0419978858755316,0.0898850779940292,0.0690866582985126,0.1096552575043466,0.0384322678843227,0.0789162283898351,0.0384322678843226,0.0472080817501556,0.0619108981230903,0.074069851875861,0.1152627030538896,0.0777744230835223,0.0628810975609756,0.08470372531505,0.0935999313014174,0.0516487882399681,0.077774536808092,0.0722638937850298,0.0628810975609756,0.0615890793953371,0.0594715998652791,0.0475841874084919,0.0459037839259627,0.0662456185477046
PLK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTTG1,0.0816494845360824,0.044460012929584,0.0657368604773901,0.0978739002932551,0.0646985877515497,0.0978739002932551,0.0699644722417329,0.061331405319316,0.0656913056477982,0.0542346595075269,0.0644397051535663,0.0733324577372892,0.0720637029296843,0.1052770579996608,0.0617317471033654,0.077476736579117,0.0852359208523592,0.0813927187769148,0.0810656520524595,0.0851804836637195,0.084348281979286,0.0942364324779133,0.0849813925354362,0.0938006962813692,0.0,0.0475522222059603,0.0642003850606896,0.0680829478390234,0.0852359208523591,0.0471811226424026,0.0852359208523592,0.0587995030554723,0.0916474358802234,0.0742262013302651,0.0300548409144692,0.0785792674889049,0.0785060975609756,0.0859723523374817,0.0754928430613261,0.0695272149384187,0.081010242249288,0.0808546871742072,0.0785060975609756,0.0605078209114791,0.0836374389957379,0.0640556368960468,0.0780203091643714,0.0675957066284751
RAD21,0.0808247422680412,0.0495152522614104,0.0632607741271084,0.0835777126099706,0.0638271579463238,0.0835777126099706,0.0726197784159841,0.0518046566138623,0.0631560296909475,0.0547206607696471,0.061465923029026,0.0827022637371937,0.0715016180365375,0.0963395588599683,0.0601365885027161,0.0842343489726476,0.1015981735159818,0.0677385406582087,0.0955661252059516,0.0782682156865104,0.0781500673030437,0.0887673538073201,0.0790112852835343,0.0916158734834508,0.109512577441981,0.0521871435595474,0.06014076194085,0.0,0.1015981735159816,0.0424909538600213,0.1015981735159818,0.0557762933445675,0.085961692125867,0.0771376383851699,0.0562747309670813,0.0733097034763375,0.0823170731707317,0.078680675197992,0.0873195005117662,0.0826380611839491,0.0754501861518537,0.0820205030404857,0.0823170731707317,0.0637845709785331,0.0773554998594111,0.0761346998535871,0.0734313993042243,0.0716462078500907
RBX1,0.0519587628865978,0.107016759914207,0.0818048158811596,0.0395894428152492,0.0787555587611323,0.0395894428152492,0.0980729459513341,0.0820692082021756,0.0815274204107088,0.0752135285369964,0.0762336297019777,0.0863057003900569,0.0522035230838251,0.0311676671678346,0.0803832505344957,0.0909232387294059,0.0452815829528157,0.0702433677399681,0.0532329238787922,0.0,0.0825275256989299,0.0626840555321834,0.075163642334485,0.0826382723561426,0.0490357605617476,0.057512196864804,0.0795238022927661,0.0623949205517605,0.0452815829528158,0.0753990100555363,0.0452815829528157,0.0669239753070495,0.0655342619475926,0.0570116661804487,0.0739658207800394,0.0602891889103174,0.0567835365853658,0.0631556157657582,0.074427223983126,0.0397298371076678,0.0709871038184122,0.0633416649365613,0.0567835365853658,0.0394428128485383,0.0603184627135668,0.0366032210834553,0.0781141933605016,0.0509729460541366
YWHAB,0.1117525773195877,0.0472783465373381,0.0700767348917172,0.0802785923753665,0.0699428081194493,0.0802785923753665,0.0714851240948822,0.0566291596416619,0.0702140165430095,0.0538732318678201,0.0708228194435578,0.0608212428438146,0.0980552002468214,0.08975256206681,0.0700783969600406,0.0664560427893509,0.0867579908675799,0.0769427658256739,0.0828438948611004,0.097178336042548,0.0880559081984072,0.0925536390408077,0.0859471766611955,0.1007284435825006,0.0942023549358253,0.0482577484123644,0.0553200006734802,0.0714953375210655,0.0867579908675798,0.042783030324182,0.0867579908675799,0.0473412064202945,0.0,0.0849723024957453,0.0544985157908761,0.0802219047930249,0.0819359756097561,0.085985136409677,0.0954670972379412,0.1060786650774732,0.0825300553542988,0.0886699191941766,0.0819359756097561,0.087035217306293,0.0750731167263637,0.0977306002928258,0.0772869979315272,0.0948044160704077
